YLL,Year,Plot.Range,Plot.Column,location,trial,gid_female,tester_male,hybrid,seq,fold,DTF_S,DTM_S,yield_S,prot_S,oil_S,SAT_S,TGLU_S
YLL_1,2019,1,5,loc1,trial_1,geno_1,t_1,hybrid_1,1,2,NA,-0.649445688,-1.14157993,-0.143001584,-0.357516714,1.360962278,-0.560728261
YLL_2,2019,1,20,loc2,trial_1,geno_1,t_2,hybrid_2,2,2,NA,2.594209595,0.456890896,-1.219535919,0.452959055,-1.112157036,0.634897686
YLL_2,2019,1,27,loc2,trial_1,geno_1,t_1,hybrid_1,3,2,NA,2.474074214,0.454011729,-0.807309273,0.365554806,-0.29956069,0.18750217
YLL_2,2019,2,8,loc2,trial_1,geno_1,t_3,hybrid_3,4,2,NA,2.714344976,0.376274222,-1.216570259,0.687361361,-0.052248759,0.029370996
YLL_3,2019,2,1,loc3,trial_1,geno_1,t_2,hybrid_2,5,2,1.177953543,1.272720405,2.260848932,0.45309594,-0.468758487,-0.264230414,-0.248322772
YLL_3,2019,2,2,loc3,trial_1,geno_1,t_3,hybrid_3,6,2,1.013605751,1.272720405,2.654761623,0.399714072,-0.150924852,-0.829514829,-1.054406071
YLL_3,2019,2,3,loc3,trial_1,geno_1,t_1,hybrid_1,7,2,1.013605751,1.032449644,2.503445405,0.236602809,-0.190654056,-0.794184553,-0.653292851
YLL_1,2019,2,3,loc1,trial_1,geno_1,t_3,hybrid_3,8,2,NA,-1.009851831,-1.174317124,-0.371357352,0.083477454,1.678934761,-1.254962682
YLL_1,2019,2,6,loc1,trial_1,geno_1,t_2,hybrid_2,9,2,NA,-0.529310307,-1.015962943,-0.448464495,0.174854625,0.548365932,-0.510589109
YLL_4,2019,1,13,loc4,trial_1,geno_1,t_2,hybrid_2,10,2,NA,-0.88971645,1.069513637,-0.507777681,0.361581885,0.47770538,-0.283034493
YLL_4,2019,1,30,loc4,trial_1,geno_1,t_3,hybrid_3,11,2,NA,-1.009851831,1.207287107,0.915738794,-0.166816533,0.689687035,-0.607010556
YLL_4,2019,2,20,loc4,trial_1,geno_1,t_1,hybrid_1,12,2,NA,-0.88971645,1.264017359,-0.42473922,0.151017102,0.795677863,-0.610867414
YLL_5,2019,1,13,loc5,trial_1,geno_1,t_2,hybrid_2,13,2,0.684910166,0.071366597,-1.113534711,0.725936597,-0.830294247,-1.041496485,0.750603422
YLL_5,2019,1,30,loc5,trial_1,geno_1,t_3,hybrid_3,14,2,0.520562374,-0.048768784,-0.276976764,0.684417367,-0.166816533,-0.935505657,-0.01305444
YLL_5,2019,2,20,loc5,trial_1,geno_1,t_1,hybrid_1,15,2,0.684910166,-0.048768784,-1.024813715,0.862356926,-1.140182041,-0.829514829,0.966587464
YLL_6,2021,2,59,loc6,trial_2,geno_2,t_4,hybrid_4,16,4,NA,0.191501978,-0.910500125,-1.118703502,1.430297484,-0.440881794,0.083367007
YLL_7,2021,5,29,loc7,trial_3,geno_2,t_5,hybrid_5,17,4,1.177953543,1.753261929,NA,NA,NA,NA,NA
YLL_8,2021,4,25,loc3,trial_4,geno_2,t_6,hybrid_6,18,4,NA,-1.009851831,-1.495290919,1.144094562,-0.385327158,-0.65286345,1.934658795
YLL_7,2021,7,17,loc7,trial_3,geno_2,t_4,hybrid_4,19,4,0.849257959,1.152585025,NA,NA,NA,NA,NA
YLL_7,2021,11,54,loc7,trial_5,geno_2,t_7,hybrid_7,20,4,1.67099692,1.512991167,NA,NA,NA,NA,NA
YLL_8,2021,14,33,loc3,trial_6,geno_2,t_4,hybrid_4,21,4,NA,-1.370257973,-1.935163645,2.404499774,-1.541447006,-0.65286345,0.604042822
YLL_9,2021,3,41,loc8,trial_7,geno_2,t_7,hybrid_7,22,4,NA,0.191501978,-0.917964632,0.248465446,-0.087358124,0.089072345,2.07350568
YLL_9,2021,4,39,loc8,trial_7,geno_2,t_6,hybrid_6,23,4,NA,-0.409174927,-0.836281599,0.648829455,0.345690204,-0.47621207,2.385911169
YLL_8,2021,4,13,loc3,trial_4,geno_2,t_7,hybrid_7,24,4,NA,-0.88971645,-1.264744293,0.75559319,-0.798510883,0.018411793,0.523048807
YLL_9,2021,4,40,loc8,trial_7,geno_2,t_5,hybrid_5,25,4,NA,0.071366597,-1.215265276,0.292950336,-0.087358124,-1.324138692,3.114857311
YLL_8,2021,14,34,loc3,trial_6,geno_2,t_8,hybrid_8,26,4,NA,-0.88971645,-1.960969511,2.262148127,-2.20889764,0.265723724,2.135215406
YLL_6,2021,10,21,loc6,trial_8,geno_2,t_5,hybrid_5,27,4,NA,0.55190812,-0.80418422,-0.736133449,0.230475511,-0.122909311,0.951160033
YLL_6,2021,6,58,loc6,trial_9,geno_2,t_6,hybrid_6,28,4,NA,0.431772739,-0.067117485,-0.220108727,0.174854625,-0.228900139,0.989728612
YLL_10,2021,5,21,loc4,trial_10,geno_2,t_4,hybrid_4,29,4,-0.301176587,-0.769581069,0.196486242,0.927601431,-0.556162736,-0.511542346,-0.043909303
YLL_10,2021,6,9,loc4,trial_10,geno_2,t_6,hybrid_6,30,4,0.027518997,-0.289039546,-0.030861309,0.785249784,-0.50054185,-0.264230414,0.997442328
YLL_7,2021,7,56,loc7,trial_11,geno_2,t_6,hybrid_6,31,4,1.177953543,1.633126548,NA,NA,NA,NA,NA
YLL_9,2021,11,40,loc8,trial_12,geno_2,t_8,hybrid_8,32,4,NA,-0.048768784,NA,0.980983299,0.123206659,-1.43012952,2.790881248
YLL_8,2021,8,30,loc3,trial_13,geno_2,t_5,hybrid_5,33,4,NA,-1.009851831,-1.726903903,1.164854177,-1.005102746,-0.582202898,1.240424375
YLL_6,2021,7,12,loc6,trial_14,geno_2,t_8,hybrid_8,34,4,NA,0.55190812,-0.703839921,-0.6886829,0.262258874,0.654356759,1.132432354
YLL_6,2021,7,28,loc6,trial_14,geno_2,t_7,hybrid_7,35,4,NA,0.55190812,-0.61906445,-0.495915044,-1.056750712,-0.440881794,0.179788454
YLL_11,2021,1,7,loc1,trial_15,geno_2,t_7,hybrid_7,36,4,NA,-0.409174927,-0.021690629,NA,NA,NA,NA
YLL_10,2021,4,3,loc4,trial_10,geno_2,t_7,hybrid_7,37,4,-0.136828795,-0.048768784,1.818736854,-0.095551035,0.083477454,-0.052248759,-0.148044467
YLL_7,2021,2,41,loc7,trial_16,geno_2,t_7,hybrid_7,38,4,1.342301335,1.512991167,NA,NA,NA,NA,NA
YLL_7,2021,4,40,loc7,trial_16,geno_2,t_8,hybrid_8,39,4,1.342301335,1.272720405,NA,NA,NA,NA,NA
YLL_6,2021,10,5,loc6,trial_8,geno_2,t_6,hybrid_6,40,4,NA,0.311637359,-0.621730345,-0.587850483,-0.13503317,0.831008139,1.842094206
YLL_10,2021,7,1,loc4,trial_17,geno_2,t_8,hybrid_8,41,4,-0.136828795,0.191501978,1.264123995,0.785249784,-0.397245919,-0.228900139,0.916448312
YLL_9,2021,1,21,loc8,trial_18,geno_2,t_4,hybrid_4,42,4,NA,-0.409174927,-1.250241823,0.764490168,-0.552189816,-0.546872622,1.587541585
YLL_9,2021,2,8,loc8,trial_18,geno_2,t_8,hybrid_8,43,4,NA,-0.048768784,-0.720475107,0.473855555,-0.075439363,-0.264230414,1.757243332
YLL_10,2021,2,29,loc4,trial_10,geno_2,t_5,hybrid_5,44,4,0.027518997,-0.529310307,0.143061701,0.883116541,-0.512460612,0.159732897,0.53461938
YLL_11,2021,3,59,loc1,trial_19,geno_2,t_8,hybrid_8,45,4,NA,NA,-0.612346394,NA,NA,NA,NA
YLL_11,2021,5,47,loc1,trial_19,geno_2,t_4,hybrid_4,46,4,NA,-1.490393354,-0.567452717,NA,NA,NA,NA
YLL_8,2021,11,42,loc3,trial_20,geno_2,t_5,hybrid_5,47,4,NA,-0.769581069,-1.440373476,1.627497032,-0.691242031,-0.334890966,2.212352564
YLL_11,2021,3,32,loc1,trial_15,geno_2,t_5,hybrid_5,48,4,NA,-0.769581069,-0.908687316,NA,NA,NA,NA
YLL_11,2021,5,10,loc1,trial_15,geno_2,t_6,hybrid_6,49,4,NA,0.071366597,-0.908687316,NA,NA,NA,NA
YLL_8,2021,14,7,loc3,trial_6,geno_3,t_5,hybrid_9,50,4,NA,-1.009851831,-1.935483552,1.268652253,-1.171965405,-0.546872622,0.839311154
YLL_8,2021,4,35,loc3,trial_4,geno_3,t_6,hybrid_10,51,4,NA,-0.88971645,-1.676678436,1.497008021,-1.40239479,0.195063172,1.599112159
YLL_8,2021,14,31,loc3,trial_6,geno_3,t_8,hybrid_11,52,4,NA,-0.88971645,-2.111006099,1.491076703,-2.193005958,0.47770538,1.228853801
YLL_6,2021,2,41,loc6,trial_2,geno_3,t_8,hybrid_11,53,4,NA,0.311637359,-0.524691756,-1.800805146,1.342893234,0.619026483,0.148933591
YLL_6,2021,6,42,loc6,trial_9,geno_3,t_5,hybrid_9,54,4,NA,0.191501978,-0.179831539,-0.03030653,0.592011271,-0.758854277,-0.969555198
YLL_7,2021,11,41,loc7,trial_5,geno_3,t_4,hybrid_12,55,4,1.177953543,1.512991167,NA,NA,NA,NA,NA
YLL_7,2021,5,58,loc7,trial_11,geno_3,t_6,hybrid_10,56,4,1.506649128,1.753261929,NA,NA,NA,NA,NA
YLL_11,2021,2,1,loc1,trial_15,geno_3,t_5,hybrid_9,57,4,NA,-0.048768784,-0.400141127,NA,NA,NA,NA
YLL_10,2021,1,32,loc4,trial_10,geno_3,t_8,hybrid_11,58,4,0.684910166,0.071366597,-0.106252829,0.728902257,-0.687269111,0.47770538,1.703247322
YLL_11,2021,10,65,loc1,trial_21,geno_3,t_8,hybrid_11,59,4,NA,-0.168904165,-0.845025736,NA,NA,NA,NA
YLL_8,2021,13,26,loc3,trial_6,geno_3,t_6,hybrid_10,60,4,NA,-1.129987212,-1.835032617,2.030826699,-2.375760298,1.184310898,1.305990959
YLL_6,2021,4,20,loc6,trial_22,geno_3,t_4,hybrid_12,61,4,NA,0.311637359,-0.829137,-0.845862844,0.258285954,-0.617533174,-1.058262929
